brand,model,chipset,vram,core_clock,boost_clock,color,length,price
asus,gt640-dcsl-2gd3,geforce gt 640,{'total': 2000000000},{'cycles': 901000000},{'cycles': 1506000000},black / red,0.4338461538461539,0.0
asus,gt710-4h-sl-2gd5,geforce gt 710,{'total': 2000000000},{'cycles': 954000000},{'cycles': 1506000000},black,0.3015384615384615,0.0
asus,gt710-sl-2gd5,geforce gt 710,{'total': 2000000000},{'cycles': 954000000},{'cycles': 1506000000},blue / silver,0.3015384615384615,0.0
asus,gt720-1gd3/csm,geforce gt 720,{'total': 1000000000},{'cycles': 797000000},{'cycles': 1506000000},black,0.2092307692307692,0.0
asus,gt720-2gd3-csm,geforce gt 720,{'total': 2000000000},{'cycles': 797000000},{'cycles': 1506000000},black / blue,0.2061538461538461,0.0
asus,gt720-sl-2gd3-brk,geforce gt 720,{'total': 2000000000},{'cycles': 797000000},{'cycles': 1506000000},black / blue,0.2092307692307692,0.0
asus,gt730-sl-1gd3-brk,geforce gt 730,{'total': 1000000000},{'cycles': 902000000},{'cycles': 1506000000},black / blue,0.2092307692307692,0.0
asus,gt730-sl-2gd3-b,geforce gt 730,{'total': 2000000000},{'cycles': 902000000},{'cycles': 1506000000},black,0.2092307692307692,0.0
asus,gt730-sl-2gd3-brk,geforce gt 730,{'total': 2000000000},{'cycles': 902000000},{'cycles': 1506000000},black,0.2092307692307692,0.0
asus,gt740-2gd3,geforce gt 740,{'total': 2000000000},{'cycles': 993000000},{'cycles': 1506000000},black / red,0.3384615384615385,0.0
asus,gt740-2gd3-csm,geforce gt 740,{'total': 2000000000},{'cycles': 993000000},{'cycles': 1506000000},black / red,0.3415384615384615,0.0
asus,gt740-oc-1gd5,geforce gt 740,{'total': 1000000000},{'cycles': 1033000000},{'cycles': 1506000000},black / silver,0.3415384615384615,0.0
asus,gt740-oc-2gd5,geforce gt 740,{'total': 2000000000},{'cycles': 1033000000},{'cycles': 1506000000},black,0.3199999999999999,0.0
asus,gtx1050ti-o4g-lp-brk,geforce gtx 1050 ti,{'total': 4000000000},{'cycles': 1303000000},{'cycles': 1442000000},black,0.3476923076923077,0.0
asus,gtx650-dc-1gd5,geforce gtx 650,{'total': 1000000000},{'cycles': 1058000000},{'cycles': 1442000000},black / red,0.5415384615384615,0.0
asus,gtx650-dco-1gd5,geforce gtx 650,{'total': 1000000000},{'cycles': 1137000000},{'cycles': 1442000000},black / red,0.5415384615384615,0.0
asus,gtx650-dct-1gd5,geforce gtx 650,{'total': 1000000000},{'cycles': 1215000000},{'cycles': 1442000000},black / red,0.5415384615384615,0.0
asus,gtx650-e-1gd5,geforce gtx 650,{'total': 1000000000},{'cycles': 1071000000},{'cycles': 1442000000},black / red,0.3938461538461538,0.0
asus,gtx650-e-2gd5,geforce gtx 650,{'total': 2000000000},{'cycles': 1071000000},{'cycles': 1442000000},black / red,0.3938461538461538,0.0
