brand,model,size,color,rpm,airflow,decibels,pwm,price
Gelid Solutions,Silent TC,80.0,White,"{'min': 900, 'max': 2000, 'default': None}","{'min': None, 'max': None, 'default': 27.0}","{'min': 10.0, 'max': 21.5, 'default': None}",False,"['USD', '8.81']"
Gelid Solutions,Slim,120.0,Black,"{'min': 900, 'max': 1600, 'default': None}","{'min': 25.0, 'max': 52.4, 'default': None}","{'min': 12.3, 'max': 25.4, 'default': None}",False,"['USD', '0.00']"
Gelid Solutions,Wing,80.0,Black / Green,"{'min': None, 'max': None, 'default': 2000}","{'min': None, 'max': None, 'default': 28.1}","{'min': 10.0, 'max': 21.0, 'default': None}",False,"['USD', '16.98']"
Gelid Solutions,Wing PL,120.0,Black / Blue,"{'min': 600, 'max': 1800, 'default': None}","{'min': None, 'max': None, 'default': 75.59}","{'min': 10.0, 'max': 26.8, 'default': None}",True,"['USD', '0.00']"
HBT+,AXE,140.0,Black / White,"{'min': 600, 'max': 1200, 'default': None}","{'min': 40.0, 'max': 70.0, 'default': None}","{'min': None, 'max': None, 'default': 23.0}",True,"['USD', '0.00']"
ID-COOLING,SF-12025-RGB 3-Pack,120.0,Black / Transparent,"{'min': 700, 'max': 1800, 'default': None}","{'min': None, 'max': None, 'default': 74.5}","{'min': 18.0, 'max': 35.2, 'default': None}",True,"['USD', '0.00']"
ID-COOLING,ZF-12025-PINK,120.0,Pink / White,"{'min': 900, 'max': 2000, 'default': None}",,"{'min': 16.3, 'max': 33.5, 'default': None}",True,"['USD', '17.98']"
In Win,AURORA 3-Pack,120.0,Black / Red,"{'min': 800, 'max': 2000, 'default': None}","{'min': 40.26, 'max': 57.64, 'default': None}","{'min': 23.7, 'max': 39.2, 'default': None}",True,"['USD', '0.00']"
In Win,CROWN AC120 2-Pack,120.0,Black / Clear,"{'min': 500, 'max': 1600, 'default': None}","{'min': None, 'max': None, 'default': 53.08}","{'min': 14.7, 'max': 28.3, 'default': None}",True,"['USD', '0.00']"
In Win,CROWN AC140 2-Pack,140.0,Black / Clear,"{'min': 500, 'max': 1500, 'default': None}","{'min': None, 'max': None, 'default': 69.03}","{'min': 18.1, 'max': 32.5, 'default': None}",True,"['USD', '0.00']"
