brand,model,fan_rpm,decibels,color,radiator_size,price
evercool,hpkc-10025ea,"{'min': none, 'max': none, 'default': 1800}","{'min': none, 'max': none, 'default': 23.0}",black,0.5333333333333333,0.0
evercool,hpl-815ep,"{'min': 1000, 'max': 4000, 'default': none}","{'min': 12.0, 'max': 40.0, 'default': none}",black,0.5333333333333333,0.0
evercool,hpm-12025,"{'min': 800, 'max': 2500, 'default': none}","{'min': 15.0, 'max': 35.0, 'default': none}",black,0.5333333333333333,0.0
evercool,hpo-12025,"{'min': 1400, 'max': 2200, 'default': none}","{'min': 16.0, 'max': 38.0, 'default': none}",black,0.5333333333333333,0.0
evercool,hpq-12025,"{'min': 800, 'max': 2200, 'default': none}","{'min': none, 'max': none, 'default': 38.1}",black,0.5333333333333333,0.0
evercool,hps-810cp,"{'min': 1500, 'max': 4000, 'default': none}","{'min': 16.2, 'max': 37.5, 'default': none}",black,0.5333333333333333,0.0
evercool,lgal1156a-b715,"{'min': 1000, 'max': 5500, 'default': none}","{'min': none, 'max': none, 'default': 56.0}",black,0.5333333333333333,0.0
evercool,ni01-9525ep,"{'min': none, 'max': none, 'default': 2600}","{'min': none, 'max': none, 'default': 33.0}",black,0.5333333333333333,0.0
evercool,ni2011e-9525ep,"{'min': 1000, 'max': 3000, 'default': none}","{'min': none, 'max': none, 'default': 28.0}",black,0.5333333333333333,0.0
evercool,transformer s,"{'min': none, 'max': none, 'default': 2200}","{'min': none, 'max': none, 'default': 20.0}",black,0.5333333333333333,0.0
evercool,ttc-nk35tz/rpw/v3,"{'min': 900, 'max': 2800, 'default': none}","{'min': 12.0, 'max': 31.0, 'default': none}",black,0.5333333333333333,0.0
evercool,ttc-nk85tz/v2(rb),"{'min': 800, 'max': 2150, 'default': none}","{'min': 17.2, 'max': 39.0, 'default': none}",black,0.5333333333333333,0.0
fsp group,windale 4,"{'min': 600, 'max': 1600, 'default': none}","{'min': none, 'max': none, 'default': 32.0}",black / silver,0.5333333333333333,0.0
fsp group,windale 6,"{'min': 600, 'max': 1600, 'default': none}","{'min': none, 'max': none, 'default': 32.0}",black / silver,0.5333333333333333,0.0
fractal design,celsius s24,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 32.2}",black / silver,0.4,0.0
fractal design,celsius s24 blackout,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 32.2}",black,0.4,0.0
fractal design,celsius s36,"{'min': 500, 'max': 2000, 'default': none}","{'min': none, 'max': none, 'default': 32.2}",black,0.8000000000000002,0.0
